OBJECTID,COUNTRY,HDI_Rank_2019,HDI_2019,Life_expectancy_at_birth_inYear,Expected_years_of_schooling_201,Mean_years_of_schooling_2019,GNI_per_capita_2019,HDI_Rank_2018,HDI_2000,HDI_2010,HDI_2018
1,American Samoa,,,,,,,,,,
2,United States Minor Outlying Islands,,,,,,,,,,
3,Cook Islands,,,,,,,,,,
4,French Polynesia,,,,,,,,,,
5,Niue,,,,,,,,,,
6,Pitcairn,,,,,,,,,,
7,Samoa,111,0.707,73.2,12.5,10.6,5885,111,0.638,0.69,0.707
8,Tokelau,,,,,,,,,,
9,Tonga,105,0.717,70.8,14.3,11.2,5783,105,0.666,0.692,0.717
10,Wallis and Futuna,,,,,,,,,,
11,El Salvador,124,0.667,73.1,12,6.9,6973,124,0.608,0.659,0.667
12,Guatemala,126,0.651,74.1,10.6,6.5,7378,126,0.546,0.602,0.651
13,Mexico,76,0.767,75,14.3,8.6,17628,76,0.705,0.739,0.767
14,Canada,13,0.922,82.3,16.1,13.3,43602,13,0.868,0.895,0.922
15,Argentina,48,0.83,76.5,17.6,10.6,17611,48,0.77,0.818,0.83
16,Falkland Islands,,,,,,,,,,
17,Chile,42,0.847,80,16.5,10.4,21972,42,0.753,0.8,0.847
18,Ecuador,85,0.758,76.8,14.9,9,10141,85,0.669,0.716,0.758
19,Peru,82,0.759,76.5,13.8,9.2,12323,82,0.679,0.721,0.759
20,Bolivia,,,,,,,,,,
21,Brazil,79,0.761,75.7,15.4,7.8,14068,79,0.684,0.726,0.761
22,Paraguay,98,0.724,74.1,12.7,8.5,11720,98,0.64,0.692,0.724
23,Uruguay,57,0.808,77.8,16.3,8.7,19435,57,0.742,0.774,0.808
24,South Georgia and South Sandwich Islands,,,,,,,,,,
25,Antarctica,,,,,,,,,,
26,Fiji,98,0.724,67.3,14.4,10.9,9110,98,0.675,0.694,0.724
27,Saint Helena,,,,,,,,,,
28,Anguilla,,,,,,,,,,
29,Antigua and Barbuda,74,0.776,76.9,12.5,9.3,22201,74,..,0.772,0.776
30,Aruba,,,,,,,,,,
31,Bahamas,60,0.805,73.8,12.8,11.5,28395,60,0.787,0.795,0.805
