"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","SOCSUPPORT","TOT","PC","A","2019",94.0282732707376,
"AUT","SOCSUPPORT","TOT","PC","A","2019",95.5641676952033,
"BEL","SOCSUPPORT","TOT","PC","A","2019",87.9839663451843,
"CAN","SOCSUPPORT","TOT","PC","A","2019",92.4946070159731,
"DNK","SOCSUPPORT","TOT","PC","A","2019",95.719189779623,
"FIN","SOCSUPPORT","TOT","PC","A","2019",93.3515988228941,
"FRA","SOCSUPPORT","TOT","PC","A","2019",94.8829825736007,
"DEU","SOCSUPPORT","TOT","PC","A","2019",87.6122083736453,
"GRC","SOCSUPPORT","TOT","PC","A","2019",88.6877569283882,
"HUN","SOCSUPPORT","TOT","PC","A","2019",94.3488207513706,
"ISL","SOCSUPPORT","TOT","PC","A","2019",97.370335017795,
"IRL","SOCSUPPORT","TOT","PC","A","2019",94.2484682990572,
"ITA","SOCSUPPORT","TOT","PC","A","2019",83.157091678174,
"JPN","SOCSUPPORT","TOT","PC","A","2019",87.3852981330703,
"KOR","SOCSUPPORT","TOT","PC","A","2019",77.8696434808904,
"LUX","SOCSUPPORT","TOT","PC","A","2019",90.8806465128658,
"MEX","SOCSUPPORT","TOT","PC","A","2019",84.5044741493985,
"NLD","SOCSUPPORT","TOT","PC","A","2019",93.8646420690498,
"NZL","SOCSUPPORT","TOT","PC","A","2019",93.6092175839747,
"NOR","SOCSUPPORT","TOT","PC","A","2019",93.6224763583912,
"POL","SOCSUPPORT","TOT","PC","A","2019",84.4395614195652,
"PRT","SOCSUPPORT","TOT","PC","A","2019",87.2015078243539,
"SVK","SOCSUPPORT","TOT","PC","A","2019",91.7718577819159,
"ESP","SOCSUPPORT","TOT","PC","A","2019",94.4445883002634,
"SWE","SOCSUPPORT","TOT","PC","A","2019",93.1197026771724,
"CHE","SOCSUPPORT","TOT","PC","A","2019",94.8512880091932,
"TUR","SOCSUPPORT","TOT","PC","A","2019",78.5302873462278,
"GBR","SOCSUPPORT","TOT","PC","A","2019",93.3747977434365,
"USA","SOCSUPPORT","TOT","PC","A","2019",91.5183854469023,
"BRA","SOCSUPPORT","TOT","PC","A","2019",89.2547785780007,
"CHL","SOCSUPPORT","TOT","PC","A","2019",86.4470673701714,
"COL","SOCSUPPORT","TOT","PC","A","2019",86.6526151678401,
"CRI","SOCSUPPORT","TOT","PC","A","2019",90.3431472899676,
"EST","SOCSUPPORT","TOT","PC","A","2019",92.0149683382118,
"ISR","SOCSUPPORT","TOT","PC","A","2019",94.0262810513201,
"LVA","SOCSUPPORT","TOT","PC","A","2019",90.4086104660546,
"LTU","SOCSUPPORT","TOT","PC","A","2019",87.0868251582881,
"RUS","SOCSUPPORT","TOT","PC","A","2019",89.797690949029,
"SVN","SOCSUPPORT","TOT","PC","A","2019",94.3740530931422,
"ZAF","SOCSUPPORT","TOT","PC","A","2019",84.3174966670505,
